District,State_Name,DFSI
Almora,UTTARAKHAND,7.102979287602845
Bageshwar,UTTARAKHAND,12.479758572738648
Chamoli,UTTARAKHAND,18.05798993917151
Champawat,UTTARAKHAND,12.273131236919184
Dehradun,UTTARAKHAND,16.331394182480402
Garhwal,UTTARAKHAND,14.763560782047266
Hardwar,UTTARAKHAND,12.275895813177405
Nainital,UTTARAKHAND,14.17404358957349
Pithoragarh,UTTARAKHAND,16.95882245057062
Rudraprayag,UTTARAKHAND,16.76850435872075
Tehri Garhwal,UTTARAKHAND,13.928911332831516
Udham Singh Nagar,UTTARAKHAND,12.813095833142514
Uttarkashi,UTTARAKHAND,16.914467976234626
