District,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area
Almora,0.649027255,0.000454012,0.648573243
Bageshwar,0.57268385,0.001914048,0.570769802
Chamoli,1.044647093,0.05612071,0.988526383
Champawat,1.472908997,0.256522301,1.216386696
Dehradun,1.565549733,0.084799737,1.480749996
Garhwal,1.014386007,0.69594354,0.318442467
Haridwar,2.049997612,0.174571933,1.875425679
Nainital,0.775389314,0.026065252,0.749324062
Pithoragarh,0.525534276,0.108953862,0.416580414
Rudraprayag,1.443384607,0.040330005,1.403054602
Tehri Garhwal,1.072103335,0.531062216,0.541041119
Udham Singh Nagar,2.061876849,0.785339181,1.276537668
Uttarkashi,0.450692495,0.082932117,0.367760378
