sl_no,slide_no,state,district,location_details,latitude,longitude,material_movement_history_raw
30549,UK/CHA/62C04/2017/34,Uttarakhand,Champawat,,29.135275,80.090843,Debris Slide 2014
30550,UK/CHA/62C04/2017/24,Uttarakhand,Champawat,,29.139732,80.073974,Rock Slide 2012
30551,UK/CHA/53O16/2017/9,Uttarakhand,Champawat,Katal,29.142636,79.958384,Rock Slide 2014
30552,UK/CHA/62C04/2017/11,Uttarakhand,Champawat,,29.144012,80.174222,Debris Slide 2011
30553,UK/CHA/62C04/2017/12,Uttarakhand,Champawat,,29.145411,80.180642,Debris Slide 2006
30554,UK/CHA/53O16/2017/7,Uttarakhand,Champawat,Katal,29.14557,79.986097,Rock Slide 2015
30555,UK/CHA/53O16/2017/15,Uttarakhand,Champawat,,29.147085,79.941277,Debris Slide 2016
30556,UK/CHA/53O16/2017/6,Uttarakhand,Champawat,Katal,29.147481,79.997854,Rock Slide 2015
30557,UK/CHA/53O16/2017/10,Uttarakhand,Champawat,Katal,29.147738,79.954939,Debris Slide 2014
30558,UK/CHA/53O16/2017/16,Uttarakhand,Champawat,,29.148941,79.935497,Debris Slide 2016
30559,UK/CHA/53O16/2017/14,Uttarakhand,Champawat,,29.14906,79.943888,Debris Slide 2016
30560,UK/CHA/53O16/2017/11,Uttarakhand,Champawat,Katal,29.149158,79.946961,Debris Slide 2016
30561,UK/CHA/53O16/2017/4,Uttarakhand,Champawat,,29.150005,79.996229,Rock Slide 2015
30562,UK/CHA/53O16/2017/12,Uttarakhand,Champawat,Katal,29.150029,79.942866,Rock Slide 2016
30563,UK/CHA/53O16/2017/17,Uttarakhand,Champawat,,29.150225,79.935322,Debris Slide 2016
30564,UK/CHA/53O16/2017/5,Uttarakhand,Champawat,,29.150924,79.996805,Rock Slide 2015
30565,UK/CHA/53O16/2017/13,Uttarakhand,Champawat,,29.15121,79.975785,Rock Slide 2016
30566,UK/CHA/53O16/2017/8,Uttarakhand,Champawat,,29.153884,79.974804,Rock Slide 2014
30567,UK/CHA/62C04/2017/21,Uttarakhand,Champawat,,29.153992,80.055119,Rock Slide NA
30568,UK/CHA/62C04/2017/1,Uttarakhand,Champawat,Adhauri,29.154557,80.090751,Rock Slide 2016
30569,UK/CHA/62C04/2017/3,Uttarakhand,Champawat,,29.157626,80.009454,Rock Slide 2016
30570,UK/CHA/53O16/2017/22,Uttarakhand,Champawat,Durgapipal,29.157774,79.880607,Debris Slide 2016
30571,UK/CHA/53O16/2017/20,Uttarakhand,Champawat,Durgapipal,29.15916,79.884315,Debris Slide 2016
30572,UK/CHA/53O16/2017/21,Uttarakhand,Champawat,Durgapipal,29.160488,79.8837,Debris Slide 2016
30573,UK/CHA/62C04/2017/20,Uttarakhand,Champawat,Syala,29.161727,80.070408,Rock Slide NA
30574,UK/CHA/62C04/2017/35,Uttarakhand,Champawat,,29.163593,80.092587,Rock Slide 2017
30575,UK/CHA/62C04/2017/14,Uttarakhand,Champawat,Purnagiri,29.169429,80.087783,Rock cum debris Slide NA
30576,UK/CHA/62C04/2017/36,Uttarakhand,Champawat,,29.170745,80.073226,Rock Slide 2012
30577,UK/CHA/62C04/2017/22,Uttarakhand,Champawat,,29.171161,80.078641,Rock Slide 2012
30578,UK/CHA/62C04/2017/23,Uttarakhand,Champawat,Chaurakot,29.172566,80.076101,Rock Slide 2012
30579,UK/CHA/53O16/2017/19,Uttarakhand,Champawat,,29.173097,79.823553,Rock Slide 2016
30580,UK/CHA/62C04/2017/33,Uttarakhand,Champawat,,29.175471,80.086015,Rock Slide 2011
30581,UK/CHA/62C04/2017/18,Uttarakhand,Champawat,Syamaltal,29.176065,80.132172,Rock Slide 2014
30582,UK/CHA/62C04/2017/19,Uttarakhand,Champawat,Syala,29.176065,80.132172,Rock Slide 2014
