station,district,latitude,longitude,datetime,discharge_m3s,valid_observations,data_completeness
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-07 07:00:00,27.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-07 08:00:00,26.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-07 09:00:00,27.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-07 10:00:00,27.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-07 11:00:00,27.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-07 12:00:00,23.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-07 13:00:00,22.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-07 14:00:00,24.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-07 15:00:00,25.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-07 16:00:00,26.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-07 17:00:00,26.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-07 18:00:00,25.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-07 19:00:00,24.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-07 20:00:00,23.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-07 21:00:00,25.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-07 22:00:00,26.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-07 23:00:00,25.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 00:00:00,24.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 01:00:00,23.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 02:00:00,24.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 03:00:00,23.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 04:00:00,25.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 05:00:00,24.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 06:00:00,25.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 07:00:00,23.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 08:00:00,26.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 09:00:00,24.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 10:00:00,24.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 11:00:00,23.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 12:00:00,23.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 13:00:00,23.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 14:00:00,24.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 15:00:00,15.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 16:00:00,24.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 17:00:00,24.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 18:00:00,23.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 19:00:00,24.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 20:00:00,24.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 21:00:00,25.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 22:00:00,25.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-08 23:00:00,25.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 00:00:00,25.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 01:00:00,24.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 02:00:00,26.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 03:00:00,27.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 04:00:00,24.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 05:00:00,25.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 06:00:00,26.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 07:00:00,24.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 08:00:00,27.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 09:00:00,26.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 10:00:00,26.0,3,partial_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 11:00:00,25.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 12:00:00,17.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 13:00:00,24.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 14:00:00,26.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 15:00:00,25.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 16:00:00,25.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 17:00:00,25.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 18:00:00,26.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 19:00:00,25.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 20:00:00,24.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 21:00:00,25.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 22:00:00,26.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-09 23:00:00,24.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 00:00:00,25.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 01:00:00,24.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 02:00:00,23.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 03:00:00,25.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 04:00:00,22.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 05:00:00,24.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 06:00:00,23.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 07:00:00,26.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 08:00:00,25.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 09:00:00,26.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 10:00:00,10.0,3,partial_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 11:00:00,28.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 12:00:00,26.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 13:00:00,25.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 14:00:00,28.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 15:00:00,28.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 16:00:00,32.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 17:00:00,28.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 18:00:00,28.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 19:00:00,26.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 20:00:00,26.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 21:00:00,27.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 22:00:00,26.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-10 23:00:00,27.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 00:00:00,25.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 01:00:00,24.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 02:00:00,26.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 03:00:00,25.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 04:00:00,25.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 05:00:00,26.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 06:00:00,27.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 07:00:00,26.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 08:00:00,29.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 09:00:00,33.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 10:00:00,33.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 11:00:00,30.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 12:00:00,33.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 13:00:00,32.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 14:00:00,33.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 15:00:00,31.25,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 16:00:00,23.5,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 17:00:00,25.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 18:00:00,27.75,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 19:00:00,28.0,4,complete_hour
Karnaprayag (P),Chamoli,30.2525,79.22138889,2023-06-11 20:00:00,28.5,4,complete_hour
