SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
1,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,05-10-2022 10.00,1
2,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,05-10-2022 11.00,1
3,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,05-10-2022 12.00,1
4,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,05-10-2022 13.00,1
5,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,05-10-2022 14.00,1
6,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,05-10-2022 15.00,1
7,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,05-10-2022 16.00,1
8,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,05-10-2022 17.00,1
9,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,05-10-2022 19.00,1
10,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,05-10-2022 20.00,1
11,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,05-10-2022 21.00,1
12,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,05-10-2022 22.00,1
13,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,05-10-2022 23.00,1
14,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,06-10-2022 0.00,1
15,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,06-10-2022 1.00,1
16,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,06-10-2022 2.00,1
17,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,06-10-2022 3.00,1
18,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,06-10-2022 4.00,1
19,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,06-10-2022 5.00,1
20,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,06-10-2022 16.00,0.5
21,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,07-10-2022 2.00,0.5
22,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,07-10-2022 4.00,3
23,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,07-10-2022 5.00,1.5
24,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,07-10-2022 6.00,3
25,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,07-10-2022 7.00,3
26,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,07-10-2022 8.00,3.5
27,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,07-10-2022 11.00,0.5
28,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,07-10-2022 12.00,0.5
29,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,07-10-2022 13.00,0.5
30,Almora_1,Uttarakhand,5,Uttarakhand,45,Almora,-,-,-,-,-,-,-,-,-,29.59575833,79.65063889,07-10-2022 14.00,1
