UEI,Start_Date,End_Date,Duration_Days,Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
UEI-IMD-FL-1970-0002,1970-07-15 00:00:00,1970-07-29 00:00:00,15.0,flood,,Entire village,Uttarakhand,,,,,,,,,,"Flooding of Alakanda river caused considerable loss of life among pilgrims. A number of bridges, houses,even an entire village in the Joshimath area were washed away",IMD,,,5
UEI-IMD-FL-1979-0057,1979-03-09 00:00:00,1979-03-09 00:00:00,1.0,heavy rains,,Chamoli,Uttarakhand,,,,,,,,,,Number of houses heavily damaged in flash floods,IMD,,47,5
UEI-IMD-FL-1979-0058,1979-07-08 00:00:00,1979-07-28 00:00:00,21.0,severe floods,,"Azamgarh, Bahraich, Ballia, Bara Banki, Basti, Chamoli, Dehradun, Deoria, Ayodhya, Gonda, Gorakhpur, Kheri,Sitapur","Uttar Pradesh, Uttarakhand",,,,,11.0,,,,11 human lives lost,"i)6.24 lakhs people in 3,600 villages affected ii)Crops in 99,014 hectares affected iii)3,641 houses damaged iv)Traffic dislocated",IMD,,"123, 125, 126, 129, 131, 47, 49, 137, 140, 514, 148, 159, 183","9,5"
UEI-IMD-FL-1980-0055,1980-06-25 00:00:00,1980-06-25 00:00:00,1.0,heavy rains,,Uttar Kashi Kashi,Uttarakhand,,,,,25.0,7.0,,,"i)25 persons killed in massive land-slides in Gyansu village, 3 missing & 7 Injured ii)Hundreds of cattle killed",i)Vast areas inundated ii)The entire Gyansu village situated on the banks of Bhagirathi river destroyed,IMD,,,5
UEI-IMD-FL-1980-0057,1980-07-08 00:00:00,1980-07-14 00:00:00,7.0,"modern floods, flash floods, heavy rains",,"Chamoli, Tehri Garhwal , Uttar Kashi Kashi, Ballia, Pratapgarh, Dehradun","Uttar Pradesh, Uttarakhand",,,,,49.0,24.0,,,"4 persons swept away in floods,22 killed in landslides , 20 persons drowned in a boat capsize in swollen nullah , 3 persons killed in house collapse","i)Many houses washed away ii)Electrical lines damaged iii)Vehicular traffic to Badrinath-Kedarnath dislocated due to several breaches , 3 hydel power stations completely closed resulting in sudden drop in power supply , 500 houses damaged",IMD,,"47, 55, None, 126, 629, 49","9,5"
UEI-IMD-FL-1980-0058,1980-07-15 00:00:00,1980-07-28 00:00:00,14.0,severe floods,,"Bahraich, Ballia, Bara Banki, Bareilly,Basti, Bulandshahr, Deoria, Fatehpur, Gonda, Gorakhpur, Hamirpur, Hardoi, Jaunpur, Lucknow, Nainital, Pilibhit, Shahjahanpur, Saharanpur, Sitapur,Rae Bareli, Uttar Kashi Kashi","Uttar Pradesh, Uttarakhand",,,,,130.0,,,,130 persons killed in drowning/house collapses/landslides,"i)3600 villages with a population of 3.5 lakhs affected ii)Amuakhas bund in Deoria district washed away causing extensive inundation iii)Thousands of people rendered homeless iv)80,940 hectares of agricultural land,5829 hectares of cropped area submerged v)1000 houses collapsed",IMD,,"125, 126, 129, 130, 131, 134, 137, 142, 514, 148, 17, 150, 152, 162, 51, 173, 180, 177, 183, 175, None","9,5"
UEI-IMD-FL-1980-0059,1980-08-01 00:00:00,1980-09-21 00:00:00,52.0,severe floods,,"Prayagraj,Azamgarh, Bahraich,Ballia, Bara Banki, Basti, Budaun, Bulandshahr, Dehradun, Deoria, Etah, Etawah, Ayodhya, Farrukhabad, Fatehpur, Garhwal, Gonda, Gorakhpur, Hamirpur, Jaunpur, Kanpur nagar Nagar,Kanpur nagar Dehat, Kheri, Lucknow, Mainpuri, Mathura, Mirzapur, Moradabad, Muzaffarnagar, Pilibhit, Pithoragarh, Pratapgarh,Saharanpur, Sitapur, Sultanpur, Unnao, Uttar Kashi Kashi, Varanasi","Uttar Pradesh, Uttarakhand",,,,,1313.0,,,5239.0,"i)Total death toll 1313 due to drowning/house collapses/landslides,boat tragedies ii)5239 cattle perished","i)29 million people in 43,000 villages reeled under the impact of floods ii)Total area affected 5.6 million hectares due to extensive inundation,water logging iii)3 million hectares of cropped area affected.The maize,jowar,Bajra crops suffered almost total loss iv)Several bunds washed away v)7 million people rendered roofless vi)Number of houses collapsed/damaged : 1.8 Million vii)Inter district highways/national highways/ rail tracts breached at many points paralysing traffic communication facilities viii)Most of the towns in the state plunged into darkness following power failure intermittently ix)Water supply, telecommunication channel disrupted in many districts for several days x)Total loss to property estimated at Rs. 200 crores",IMD,,"120, 123, 125, 126, 129, 131, 133, 134, 49, 137, 138, 139, 140, 141, 142, 52, 514, 148, 17, 152, None, None, 159, 162, 166, 167, 170, 171, 172, 173, 53, 629, 177, 183, 185, 186, None, 187","9,5"
UEI-IMD-FL-1981-0077,1981-07-01 00:00:00,1981-07-31 00:00:00,31.0,"rivers gomti, ghagra,tapti in floods",,"Mathura, Mainpuri, Aligarh, Pratapgarh, Sultanpur, Agra, Farrukhabad, Ballia, Gorakhpur, Bahraich, Azamgarh, Bara Banki,Chamoli","Uttar Pradesh, Uttarakhand",,,,,148.0,,,513.0,(i)148 people died (ii)513 cattle perished (iii)Several hundreds of birds perished,"(i)Population of 53 lacs in 6107 villages affected (ii)5504 villages water logged (iii)Hundreds of houses collapsed (iv)Number of houses damaged:54466 (v)Massive landslides caused due to heavy destruction in hilly areas (vi)Vehicular traffic snapped due to overflowing canals,breaches in the highways (vii)Damage to roads estimated at Rs. 1 crore (viii)More than 25000 hectares of land under water (ix)Kharif sowing severly affected (x)Total crop area affected :134742 hectares (xi) Total area affected: 7 lac hectares",IMD,,"167, 166, 119, 629, 185, 118, 141, 126, 148, 125, 123, 129, 47","9,5"
UEI-IMD-FL-1982-0050,1982-04-15 00:00:00,1982-04-28 00:00:00,14.0,heavy rains (unseasonal),,"Dehradun, Almora",Uttarakhand,,,,,,,,,,"Harvested,ready for harvest wheat crop damaged",IMD,,"49, 45",5
UEI-IMD-FL-1982-0052,1982-08-08 00:00:00,1982-08-14 00:00:00,7.0,flash floods in a nullah,,Chamoli,Uttarakhand,,,,,,5.0,,,5 persons drowned,4 houses washed away in Admala village (Karanprayag Tehsil),IMD,,47,5
